Profit;popularity;Day_of_week;runtime;vote_average;vote_count
-37364904;5.516207;4;138;6,6;49
-15649317;3.75074;4;98;7;49
-22663828;3.593165;4;114;6,6;49
-11627590;3.113009;6;107;4,7;49
5250000;3.810697;6;91;6;49
-200000;3.696123;6;90;7,8;49
-73821041;3.593349;4;110;5,4;50
40700000;4.801849;6;119;5,9;50
-17128721;1.138383;4;338;6,7;50
-1200000;3.582733;6;86;6,2;50
5795189;2.959547;2;99;6;50
-9401355;4.570043;6;89;5,6;50
-9750000;2.803642;4;82;6,4;50
8138836;3.604863;7;122;6,8;50
13256975;6.872784;6;96;6,8;50
32000000;8.988455;5;152;7,1;50
-13500000;3.393648;4;106;6,6;50
18400000;3.389249;6;132;6,2;51
-7500000;3.919057;6;97;6,3;51
-8000000;4.176066;4;87;6,5;51
-9900000;3.193777;4;89;6,9;51
1591545;3.703005;7;97;7,8;51
-54000000;2.952595;6;105;4,9;52
-30517805;4.131546;6;118;5,8;52
-10988950;8.982335;2;117;6,5;52
-1746585;11.090254;6;114;6,5;52
-3394237;9.149089;6;84;5,8;52
-32600000;8.978408;5;125;6,5;52
90508336;3.107371;2;103;6,4;52
-14683000;3.803495;4;102;6,4;52
6000000;3.043589;6;95;6,1;52
-1601011;5.696491;6;95;6,9;52
-3000000;3.077885;6;90;6,1;52
-1879380;3.911445;1;90;5,2;52
-1500000;2.815228;6;90;6,8;52
-30348023;3.503408;6;114;6,6;53
-15565854;5.566203;7;124;5,7;53
-9217324;4.12064;4;89;5,8;53
-4500000;5.099472;3;90;6,4;53
37910000;4.289003;6;109;6,2;53
-725339;0.748565;2;106;4;53
773228;7.330691;4;107;5,9;53
-9878900;4.746085;6;106;5,9;54
-16000000;3.314094;3;110;4,8;54
12978402;3.495758;6;86;4,1;54
-8240748;4.123533;6;98;6,4;54
-40515669;5.380124;4;219;6,4;55
-21321087;6.727949;6;94;5,7;55
-14500000;6.138213;6;118;6,5;55
-12172184;6.921263;6;102;6,6;55
13381649;7.854989;4;130;7,4;55
2196245;4.536745;6;90;5;55
-1347502;4.793348;4;132;7,6;55
476060;4.149628;6;94;5,9;55
-3019662;2.732031;6;116;6,6;55
-650000;1.631274;6;93;6;55
-900000;7.145832;4;76;3,5;55
-12946185;3.296933;6;104;5,2;56
44787599;3.845231;4;132;5,9;56
4488529;5.271559;6;112;5,9;56
-13633773;5.494047;3;86;5,9;56
31110610;4.492455;6;112;6,8;56
-4937934;7.051521;6;104;7,4;56
-30061;5.424916;5;107;5,8;56
8650785;6.248273;6;114;5,7;57
-17162326;7.876883;6;139;6,5;57
1300000;4.930129;4;117;6,7;57
-7115337;4.234269;4;100;5,5;57
-9843800;4.068107;6;110;7;57
27500000;2.551559;6;126;5,7;57
-3000000;5.325156;6;90;5,4;57
34153101;5.987486;6;91;6,1;58
-2950947;2.753313;3;134;5,9;58
5300000;3.352702;6;90;5,6;58
-4257102;4.129165;6;98;3,9;58
-12;4.88794;7;145;7;59
-15430082;9.583578;6;98;6,8;59
-787706;5.158067;4;131;6,3;59
-3200000;2.631688;7;90;4,7;59
24400000;3.667372;6;97;6;59
-700000;3.120747;5;98;5,8;59
35099643;11.35972;4;118;6;59
-14400000;6.463806;4;99;6,6;59
678874;5.323184;6;92;6,7;59
2593000;3.898498;6;101;6,4;59
351498;2.380332;6;99;8,3;59
-39000000;7.524671;2;117;5,8;60
-32600000;5.419181;5;121;6,6;60
-13227539;5.073536;7;116;6,4;60
-17617826;6.333869;4;98;4,4;60
-11848670;3.680896;5;110;6,4;60
