Winner;Film
1;Pierre Etaix and J.C. Carrière, Producers
1;Shepperton Studio Sound Department, John Cox, Sound Director
1;"Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont"
1;Horton Foote
1;Ennio de Concini, Alfredo Giannetti, Pietro Germi
1;Lilies of the Field
1;Hud
1;Hud
1;The V.I.P.s
1;Gene Callahan
1;"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer"
1;James Wong Howe
1;Leon Shamroy
1;Piero Gherardi
1;Irene Sharaff, Vittorio Nino Novarese, Renie
1;Tony Richardson
1;Robert Hughes, Producer
1;Simon Schiffrin, Producer
1;Harold F. Kress
1;Italy
1;John Addison
1;Andre Previn
1;"Music by James Van Heusen; Lyrics by Sammy Cahn"
1;Tony Richardson, Producer
1;Ernest Pintoff, Producer
1;Paul de Roubaix and Marcel Ichac, Producers
1;Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director
1;Walter G. Elliott
1;Emil Kosa, Jr.
1;John Osborne
1;James R. Webb
1;My Fair Lady
1;Topkapi
1;Mary Poppins
1;Zorba the Greek
1;Vassilis Fotopoulos
1;"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins"
1;Walter Lassally
1;Harry Stradling
1;Dorothy Jeakins
1;Cecil Beaton
1;George Cukor
1;Jacques-Yves Cousteau, Producer
1;Charles Guggenheim, Producer
1;Cotton Warburton
1;Italy
1;Richard M. Sherman, Robert B. Sherman
1;Andre Previn
1;Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1;Jack L. Warner, Producer
1;David H. DePatie and Friz Freleng, Producers
1;Edward Schreiber, Producer
1;Warner Brothers Studio Sound Department, George R. Groves, Sound Director
1;Norman Wanstall
1;Peter Ellenshaw, Eustace Lycett, Hamilton Luske
1;Edward Anhalt
1;"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff"
1;7 Faces of Dr. Lao
1;Cat Ballou
1;A Thousand Clowns
1;Darling
1;A Patch of Blue
1;"Art Direction: Robert Clatworthy; Set Decoration: Joseph Kish"
1;"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni"
1;Ernest Laszlo
1;Freddie Young
1;Julie Harris
1;Phyllis Dalton
1;Robert Wise
1;Sidney Glazier, Producer
1;Francis Thompson, Producer
1;William Reynolds
1;Czechoslovakia
1;Maurice Jarre
