budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
8500000;8.775844;19;19125401;119;The Way of the Gun;6.4;100
500000;6.093989;11;33456317;122;Fireproof;7;100
25000000;10.115011;23;51702483;100;Maximum Risk;5.2;101
17000000;5.787891;10;20455276;95;My Life in Ruins;5.6;101
4000000;7.758188;14;866999;101;Mirrormask;6.6;102
48000000;7.226115;18;35743308;132;Riding in Cars with Boys;6.5;103
35000000;9.525037;9;60251371;123;Secretariat;6.8;103
16000000;9.119797;19;20627372;94;Boys and Girls;5.4;103
10000000;8.305998;51;37402877;153;Oliver!;7;103
22000000;12.893219;12;413454;97;The Death and Life of Bobby Z;5.8;103
5000000;7.673124;22;3263585;112;The Sweet Hereafter;6.8;103
54000000;9.053456;16;7266209;121;Gigli;3.5;104
50000000;9.114168;25;49000000;102;On Deadly Ground;4.5;104
47000000;10.410933;13;38085778;75;Happily N'Ever After;4.6;104
28000000;6.201404;15;30016165;90;Laws of Attraction;5.6;104
70000000;4.822033;12;53587404;90;Dragon Wars: D-War;4;104
18000000;10.991281;17;676698;103;Salton Sea;7;104
15000000;9.378688;21;17507368;84;Disturbing Behavior;5.5;104
25000000;11.782725;19;15843608;87;Highlander: Endgame;4.4;104
40000000;6.756886;17;18902015;101;FearDotCom;3.2;105
10000000;8.902102;20;3193102;89;The Limey;6.6;105
145000000;10.660441;15;25819961;137;The Alamo;5.8;106
50000000;9.894346;13;69834815;86;Curious George;6.2;106
3000000;11.241802;22;23144499;98;Air Bud;5.3;106
500000;8.519202;15;603943;90;Mean Creek;6.9;106
12000000;5.327714;19;15250000;114;Brother;6.8;107
8500000;9.230073;10;4440055;119;Bright Star;6.8;107
8500000;2.62082;15;5001655;104;Club Dread;5.1;107
1500000;7.5591;12;173066;86;My Name Is Bruce;5.9;107
50000000;7.44268;24;10382407;135;The Scarlet Letter;5.5;108
25000000;7.436491;35;8613462;132;The Bounty;6.5;108
2700000;10.47644;33;3500000;93;The Wraith;5.9;108
16000000;9.400404;15;14822346;86;Soul Plane;4.7;108
70000000;10.147321;21;56702901;115;A Civil Action;6.1;109
90000000;5.762037;19;14828081;91;Supernova;4.9;109
13000000;6.425528;21;27007143;91;The Big Hit;6.1;109
12000000;6.537986;38;55260558;100;Quest for Fire;7.1;109
3730500;6.938854;7;6294161;112;The Sweeney;5.7;109
50000000;12.601306;18;79958599;101;Exit Wounds;5.3;110
